date,artist,track,genre,duration_seconds,play_count,source
2025-01-23,Alfa Mist,Mulago,Jazz,390,116,album
2025-01-23,The Beatles,Let It Be,Rock,243,18380,radio
2025-01-24,Olivia Rodrigo,vampire,Pop,208,1940,search
2025-01-24,Led Zeppelin,Whole Lotta Love,Rock,271,411,album
2025-01-25,Arctic Monkeys,R U Mine,Rock,221,165,radio
2025-01-26,Clairo,Pretty Girl,Indie,270,167,playlist
2025-01-26,Daniel Caesar,Best Part,R&B,233,678,search
2025-01-26,The Weeknd,Blinding Lights,Pop,178,1955,radio
2025-01-26,Drake,One Dance,Hip-Hop,220,925,playlist
2025-01-27,Foo Fighters,The Pretender,Rock,343,1296,liked
2025-01-27,Olivia Rodrigo,drivers license,Pop,212,1883,playlist
2025-01-27,The Weeknd,Blinding Lights,Pop,206,1580,radio
2025-01-27,Bonobo,No Reason,Electronic,372,112,album
2025-01-27,Harry Styles,Adore You,Pop,204,1632,radio
2025-01-27,Jorja Smith,Be Honest,R&B,320,408,search
2025-01-28,Harry Styles,Adore You,Pop,206,1749,radio
2025-01-28,Led Zeppelin,Stairway to Heaven,Rock,337,254,liked
2025-01-28,The Weeknd,Blinding Lights,Pop,186,1979,playlist
2025-01-28,boy pablo,Everytime,Indie,300,290,search
2025-01-28,Olivia Rodrigo,vampire,Pop,187,929,search
2025-01-29,Harry Styles,Watermelon Sugar,Pop,202,498,search
2025-01-29,Arctic Monkeys,Do I Wanna Know,Rock,327,497,playlist
2025-01-29,HER,Damage,R&B,317,794,playlist
2025-01-29,J. Cole,No Role Modelz,Hip-Hop,279,377,radio
2025-01-29,J. Cole,PRIDE is the Devil,Hip-Hop,268,381,search
2025-01-30,Drake,Hotline Bling,Hip-Hop,282,792,search
2025-01-31,Taylor Swift,Cruel Summer,Pop,250,743,search
2025-01-31,Daft Punk,Get Lucky,Electronic,409,380,playlist
