date,artist,track,genre,duration_seconds,play_count,source
2025-01-23,Alfa Mist,Mulago,Jazz,390,116,album
2025-01-23,The Beatles,Let It Be,Rock,243,18380,radio
2025-01-24,Olivia Rodrigo,vampire,Pop,208,1940,search
2025-01-24,Led Zeppelin,Whole Lotta Love,Rock,271,411,album
2025-01-25,Arctic Monkeys,R U Mine,Rock,221,165,radio
2025-01-26,Clairo,Pretty Girl,Indie,270,167,playlist
2025-01-26,Daniel Caesar,Best Part,R&B,233,678,search
2025-01-26,The Weeknd,Blinding Lights,Pop,178,1955,radio
2025-01-26,Drake,One Dance,Hip-Hop,220,925,playlist
2025-01-27,Foo Fighters,The Pretender,Rock,343,1296,liked
2025-01-27,Olivia Rodrigo,drivers license,Pop,212,1883,playlist
2025-01-27,The Weeknd,Blinding Lights,Pop,206,1580,radio
2025-01-27,Bonobo,No Reason,Electronic,372,112,album
2025-01-27,Harry Styles,Adore You,Pop,204,1632,radio
2025-01-27,Jorja Smith,Be Honest,R&B,320,408,search
2025-01-28,Harry Styles,Adore You,Pop,206,1749,radio
2025-01-28,Led Zeppelin,Stairway to Heaven,Rock,337,254,liked
2025-01-28,The Weeknd,Blinding Lights,Pop,186,1979,playlist
2025-01-28,boy pablo,Everytime,Indie,300,290,search
2025-01-28,Olivia Rodrigo,vampire,Pop,187,929,search
2025-01-29,Harry Styles,Watermelon Sugar,Pop,202,498,search
2025-01-29,Arctic Monkeys,Do I Wanna Know,Rock,327,497,playlist
2025-01-29,HER,Damage,R&B,317,794,playlist
2025-01-29,J. Cole,No Role Modelz,Hip-Hop,279,377,radio
2025-01-29,J. Cole,PRIDE is the Devil,Hip-Hop,268,381,search
2025-01-30,Drake,Hotline Bling,Hip-Hop,282,792,search
2025-01-31,Taylor Swift,Cruel Summer,Pop,250,743,search
2025-01-31,Daft Punk,Get Lucky,Electronic,409,380,playlist
2025-02-01,J. Cole,PRIDE is the Devil,Hip-Hop,204,322,playlist
2025-02-01,Harry Styles,As It Was,Pop,183,728,playlist
2025-02-02,J. Cole,PRIDE is the Devil,Hip-Hop,288,1365,playlist
2025-02-02,Harry Styles,As It Was,Pop,217,1642,radio
2025-02-03,The Weeknd,Save Your Tears,Pop,242,991,album
2025-02-03,Olivia Rodrigo,drivers license,Pop,256,388,album
2025-02-03,Taylor Swift,Anti-Hero,Pop,227,1802,playlist
2025-02-04,Radiohead,Karma Police,Rock,250,362,search
2025-02-04,The Weeknd,Save Your Tears,Pop,164,863,radio
2025-02-04,J. Cole,PRIDE is the Devil,Hip-Hop,226,1134,radio
2025-02-04,Radiohead,Creep,Rock,229,350,liked
2025-02-05,Hilary Hahn,Violin Concerto in D,Classical,849,92,playlist
2025-02-05,The Rolling Stones,Paint It Black,Rock,276,462,search
2025-02-05,Steve Lacy,Mercury,R&B,257,611,playlist
2025-02-05,boy pablo,Feeling Lonely,Indie,269,336,playlist
2025-02-05,Harry Styles,As It Was,Pop,207,1504,playlist
2025-02-05,Tyler the Creator,NEW MAGIC WAND,Hip-Hop,285,954,playlist
2025-02-05,Kendrick Lamar,DNA,Hip-Hop,297,1137,album
2025-02-05,Clairo,Bags,Indie,352,238,search
2025-02-06,Led Zeppelin,Whole Lotta Love,Rock,393,331,playlist
2025-02-06,Disclosure,Magnets,Electronic,274,309,playlist
2025-02-07,The Weeknd,Save Your Tears,Pop,211,1575,playlist
2025-02-07,Frank Ocean,Pink + White,R&B,206,120,playlist
2025-02-07,Arctic Monkeys,R U Mine,Rock,218,89,radio
2025-02-08,Drake,Hotline Bling,Hip-Hop,298,253,album
2025-02-08,Bonobo,Bambro Koyo Ganda,Electronic,439,225,playlist
2025-02-08,Jorja Smith,Blue Lights,R&B,256,394,liked
2025-02-09,Drake,Gods Plan,Hip-Hop,231,965,playlist
2025-02-09,Tyler the Creator,EARFQUAKE,Hip-Hop,299,1376,playlist
2025-02-10,Taylor Swift,Shake It Off,Pop,252,1369,search
2025-02-10,ODESZA,Line of Sight,Electronic,378,63,liked
2025-02-10,Kendrick Lamar,HUMBLE,Hip-Hop,270,188,playlist
2025-02-11,Drake,Hotline Bling,Hip-Hop,177,866,radio
2025-02-11,Dua Lipa,Levitating,Pop,231,458,search
2025-02-11,Tyler the Creator,See You Again,Hip-Hop,275,1449,playlist
2025-02-12,Kamasi Washington,Street Fighter Mas,Jazz,404,66,playlist
2025-02-12,The Weeknd,Starboy,Pop,240,727,radio
2025-02-12,Harry Styles,As It Was,Pop,235,1033,radio
2025-02-12,Led Zeppelin,Whole Lotta Love,Rock,392,445,radio
2025-02-13,Jamie xx,Loud Places,Electronic,255,361,album
2025-02-14,Yuja Wang,Rondo Capriccioso,Classical,823,72,album
2025-02-15,Taylor Swift,Shake It Off,Pop,224,1497,playlist
2025-02-15,Bonobo,Bambro Koyo Ganda,Electronic,270,2015,liked
2025-02-16,Kamasi Washington,Fists of Fury,Jazz,456,60,search
2025-02-16,Phoebe Bridgers,Kyoto,Indie,286,228,playlist
2025-02-16,Harry Styles,Adore You,Pop,177,1627,album
2025-02-16,Dua Lipa,Levitating,Pop,214,429,album
2025-02-17,Phoebe Bridgers,Motion Sickness,Indie,234,258,album
2025-02-17,Taylor Swift,Cruel Summer,Pop,169,440,search
2025-02-17,J. Cole,PRIDE is the Devil,Hip-Hop,284,905,playlist
2025-02-17,The Beatles,Ticket to Ride,Rock,191,23351,radio
2025-02-18,Tyler the Creator,See You Again,Hip-Hop,258,858,playlist
2025-02-18,Jamie xx,Sleep Sound,Electronic,400,172,radio
2025-02-19,J. Cole,PRIDE is the Devil,Hip-Hop,206,1294,album
2025-02-19,Tyler the Creator,NEW MAGIC WAND,Hip-Hop,187,280,playlist
2025-02-20,Kamasi Washington,Street Fighter Mas,Jazz,254,62,playlist
2025-02-20,Lang Lang,Ballade No 1,Classical,753,48,radio
2025-02-20,Jorja Smith,Be Honest,R&B,189,235,search
2025-02-20,SZA,Good Days,Hip-Hop,224,599,playlist
2025-02-20,Olivia Rodrigo,drivers license,Pop,159,969,search
2025-02-21,Dua Lipa,Dont Start Now,Pop,267,1292,radio
2025-02-21,Dua Lipa,Dont Start Now,Pop,268,1627,radio
2025-02-21,Robert Glasper,F.T.B.,Jazz,340,130,playlist
2025-02-22,Daniel Caesar,Best Part,R&B,236,112,playlist
2025-02-22,Dua Lipa,New Rules,Pop,179,1097,playlist
2025-02-23,Phoebe Bridgers,Kyoto,Indie,321,109,playlist
2025-02-23,Tyler the Creator,EARFQUAKE,Hip-Hop,187,1494,search
2025-02-23,Olivia Rodrigo,vampire,Pop,245,1872,radio
2025-02-23,The Weeknd,Save Your Tears,Pop,168,1585,search
2025-02-24,Daniel Caesar,Best Part,R&B,243,630,album
2025-02-24,The Weeknd,Starboy,Pop,261,1273,playlist
2025-02-25,Radiohead,No Surprises,Rock,412,110,playlist
2025-02-26,The Weeknd,Starboy,Pop,155,1279,playlist
2025-02-26,HER,Best Part,R&B,281,482,search
2025-02-26,Frank Ocean,Nights,R&B,280,542,radio
2025-02-27,Kamasi Washington,Fists of Fury,Jazz,445,49,radio
2025-02-28,J. Cole,No Role Modelz,Hip-Hop,252,1415,playlist
2025-02-28,Led Zeppelin,Kashmir,Rock,323,345,playlist
2025-03-01,Yuja Wang,Islamey,Classical,855,10,search
2025-03-01,The Beatles,Blackbird,Rock,138,42434,playlist
2025-03-02,SZA,Kiss Me More,Hip-Hop,217,1370,radio
2025-03-02,Daniel Caesar,Best Part,R&B,289,702,playlist
2025-03-02,Frank Ocean,Pink + White,R&B,196,539,playlist
2025-03-02,Dua Lipa,Dont Start Now,Pop,215,4873,playlist
2025-03-02,Dua Lipa,New Rules,Pop,176,664,playlist
2025-03-02,Harry Styles,Watermelon Sugar,Pop,154,1106,playlist
2025-03-03,Olivia Rodrigo,good 4 u,Pop,170,1339,search
2025-03-03,Daniel Caesar,Peaches,R&B,182,768,radio
2025-03-03,Olivia Rodrigo,drivers license,Pop,171,1626,search
2025-03-04,SZA,Kiss Me More,Hip-Hop,241,1237,liked
2025-03-04,Clairo,Sofia,Indie,332,158,liked
2025-03-04,Foo Fighters,Learn to Fly,Rock,196,486,playlist
2025-03-04,Dua Lipa,Levitating,Pop,199,398,album
2025-03-04,Foo Fighters,Everlong,Rock,290,166,album
2025-03-04,HER,Focus,R&B,240,698,album
2025-03-05,Bonobo,No Reason,Electronic,323,218,search
2025-03-05,Foo Fighters,Learn to Fly,Rock,361,265,search
2025-03-06,Kendrick Lamar,Money Trees,Hip-Hop,225,596,radio
2025-03-06,Led Zeppelin,Stairway to Heaven,Rock,400,97,album
2025-03-07,Jamie xx,Gosh,Electronic,395,195,search
2025-03-08,Kendrick Lamar,HUMBLE,Hip-Hop,202,1211,playlist
2025-03-08,Steve Lacy,Dark Red,R&B,214,562,playlist
2025-03-09,Alfa Mist,People,Jazz,482,141,album
2025-03-09,Harry Styles,As It Was,Pop,200,1759,search
2025-03-09,Dua Lipa,New Rules,Pop,175,1308,album
2025-03-10,SZA,Kiss Me More,Hip-Hop,300,1390,album
2025-03-10,Harry Styles,As It Was,Pop,268,876,search
2025-03-10,Disclosure,Latch,Electronic,396,331,radio
2025-03-10,Daft Punk,Instant Crush,Electronic,306,135,album
2025-03-10,The Rolling Stones,Paint It Black,Rock,225,335,search
2025-03-11,Foo Fighters,Everlong,Rock,382,230,playlist
2025-03-11,Steve Lacy,Bad Habit,R&B,261,555,radio
2025-03-11,GoGo Penguin,Raven,Jazz,433,117,search
2025-03-11,Jorja Smith,Blue Lights,R&B,295,259,search
2025-03-12,ODESZA,Line of Sight,Electronic,468,293,search
2025-03-12,SZA,Kill Bill,Hip-Hop,204,1146,search
2025-03-12,Clairo,Sofia,Indie,360,239,radio
2025-03-13,GoGo Penguin,Raven,Jazz,249,21,playlist
2025-03-13,Daniel Caesar,Best Part,R&B,251,683,search
2025-03-13,Phoebe Bridgers,Kyoto,Indie,184,89,album
2025-03-13,Jorja Smith,Be Honest,R&B,257,450,playlist
2025-03-14,Daft Punk,Get Lucky,Electronic,373,178,search
2025-03-16,The Weeknd,Save Your Tears,Pop,260,1728,playlist
2025-03-16,Drake,Gods Plan,Hip-Hop,216,330,search
2025-03-16,Tyler the Creator,EARFQUAKE,Hip-Hop,181,915,playlist
2025-03-16,Nubya Garcia,Together Is a Beautiful Place to Be,Jazz,566,125,album
2025-03-16,SZA,Kill Bill,Hip-Hop,274,741,search
2025-03-17,Drake,Hotline Bling,Hip-Hop,185,366,radio
2025-03-17,The Beatles,Something,Rock,182,18103,radio
2025-03-18,Phoebe Bridgers,Motion Sickness,Indie,258,80,search
2025-03-18,Drake,One Dance,Hip-Hop,233,1016,playlist
2025-03-18,Kendrick Lamar,HUMBLE,Hip-Hop,292,1013,search
2025-03-19,Radiohead,Karma Police,Rock,343,271,radio
2025-03-19,Bonobo,Kerala,Electronic,300,193,search
2025-03-20,Kamasi Washington,Fists of Fury,Jazz,528,146,radio
2025-03-20,The Weeknd,Blinding Lights,Pop,202,1676,search
2025-03-20,Olivia Rodrigo,vampire,Pop,249,1989,playlist
2025-03-21,Arctic Monkeys,R U Mine,Rock,346,399,playlist
2025-03-21,Radiohead,No Surprises,Rock,255,249,search
2025-03-22,Steve Lacy,Mercury,R&B,240,218,radio
2025-03-23,The Weeknd,Save Your Tears,Pop,244,1986,radio
2025-03-24,Alfa Mist,People,Jazz,297,129,playlist
2025-03-25,Tyler the Creator,See You Again,Hip-Hop,194,1094,search
2025-03-25,Led Zeppelin,Whole Lotta Love,Rock,383,193,album
2025-03-26,SZA,Kill Bill,Hip-Hop,208,670,playlist
2025-03-27,Daft Punk,Get Lucky,Electronic,246,219,album
2025-03-27,Harry Styles,As It Was,Pop,164,1375,playlist
2025-03-27,The Rolling Stones,Gimme Shelter,Rock,313,228,search
2025-03-27,The Rolling Stones,Paint It Black,Rock,331,133,search
2025-03-28,Harry Styles,Watermelon Sugar,Pop,259,1372,search
2025-03-28,Tyler the Creator,See You Again,Hip-Hop,271,330,radio
2025-03-28,The Rolling Stones,Gimme Shelter,Rock,316,407,radio
2025-03-29,Phoebe Bridgers,I Know the End,Indie,203,88,playlist
2025-03-29,Led Zeppelin,Whole Lotta Love,Rock,299,396,radio
2025-03-29,Robert Glasper,So Beautiful,Jazz,566,60,liked
2025-03-29,Drake,Hotline Bling,Hip-Hop,293,327,search
2025-03-29,boy pablo,Everytime,Indie,309,100,album
2025-03-31,Foo Fighters,The Pretender,Rock,243,364,playlist
2025-04-01,Tame Impala,The Less I Know the Better,Indie,285,220,album
2025-04-01,Alfa Mist,Run Outs,Jazz,402,28,album
2025-04-01,Disclosure,Magnets,Electronic,408,125,radio
2025-04-01,SZA,Kiss Me More,Hip-Hop,259,541,album
2025-04-01,Taylor Swift,Anti-Hero,Pop,176,1520,search
2025-04-02,The Rolling Stones,Sympathy for the Devil,Rock,338,156,search
2025-04-02,Tame Impala,Feels Like We Only Go Backwards,Indie,243,264,search
2025-04-02,The Weeknd,Blinding Lights,Pop,209,1021,album
2025-04-02,Harry Styles,Adore You,Pop,226,1553,search
2025-04-03,Taylor Swift,Shake It Off,Pop,237,1983,playlist
2025-04-03,Jamie xx,Gosh,Electronic,380,341,playlist
2025-04-03,Drake,Gods Plan,Hip-Hop,273,1496,album
2025-04-03,The Beatles,Eleanor Rigby,Rock,128,21029,search
2025-04-04,Phoebe Bridgers,Kyoto,Indie,241,152,album
2025-04-05,Yuja Wang,Piano Concerto No 2,Classical,757,362,radio
2025-04-07,J. Cole,Middle Child,Hip-Hop,192,465,playlist
2025-04-07,SZA,Kill Bill,Hip-Hop,227,208,playlist
2025-04-07,The Beatles,Strawberry Fields Forever,Rock,247,19740,playlist
2025-04-08,Foo Fighters,The Pretender,Rock,401,296,radio
2025-04-08,Disclosure,Magnets,Electronic,405,109,playlist
2025-04-08,SZA,Kiss Me More,Hip-Hop,242,465,search
2025-04-09,Olivia Rodrigo,good 4 u,Pop,247,1683,search
2025-04-09,Olivia Rodrigo,good 4 u,Pop,201,1255,radio
2025-04-09,Foo Fighters,The Pretender,Rock,410,450,playlist
2025-04-09,Radiohead,Creep,Rock,382,330,search
2025-04-09,Arctic Monkeys,R U Mine,Rock,291,328,search
2025-04-10,Dua Lipa,New Rules,Pop,172,352,radio
2025-04-11,Tyler the Creator,See You Again,Hip-Hop,245,163,album
2025-04-11,Alfa Mist,Mulago,Jazz,359,527,search
2025-04-11,Drake,Hotline Bling,Hip-Hop,270,646,playlist
2025-04-12,SZA,Good Days,Hip-Hop,212,159,playlist
2025-04-12,Jamie xx,Gosh,Electronic,263,298,album
2025-04-13,Nubya Garcia,Together Is a Beautiful Place to Be,Jazz,285,93,radio
2025-04-13,Jamie xx,Gosh,Electronic,379,382,radio
2025-04-13,Daniel Caesar,Best Part,R&B,272,567,radio
2025-04-13,The Weeknd,Starboy,Pop,241,493,playlist
2025-04-13,Harry Styles,As It Was,Pop,245,385,album
2025-04-14,Tyler the Creator,EARFQUAKE,Hip-Hop,273,821,playlist
2025-04-15,Dua Lipa,Dont Start Now,Pop,212,1097,playlist
2025-04-15,Dua Lipa,Dont Start Now,Pop,243,1964,liked
2025-04-15,Foo Fighters,Learn to Fly,Rock,401,330,search
2025-04-15,Kendrick Lamar,DNA,Hip-Hop,298,1003,album
2025-04-16,ODESZA,A Moment Apart,Electronic,254,321,search
2025-04-16,J. Cole,Middle Child,Hip-Hop,275,349,playlist
2025-04-16,Drake,Hotline Bling,Hip-Hop,173,952,radio
2025-04-16,J. Cole,Middle Child,Hip-Hop,171,1111,playlist
2025-04-16,Dua Lipa,New Rules,Pop,163,929,playlist
2025-04-16,Bonobo,Bambro Koyo Ganda,Electronic,413,351,playlist
2025-04-18,Dua Lipa,Dont Start Now,Pop,248,766,search
2025-04-19,boy pablo,Dance Baby,Indie,307,211,search
2025-04-19,Phoebe Bridgers,I Know the End,Indie,351,209,radio
2025-04-19,J. Cole,Middle Child,Hip-Hop,267,719,playlist
2025-04-19,The Weeknd,Starboy,Pop,243,1323,liked
2025-04-21,SZA,Good Days,Hip-Hop,265,499,radio
2025-04-21,SZA,Good Days,Hip-Hop,223,179,playlist
2025-04-22,Led Zeppelin,Stairway to Heaven,Rock,245,220,album
2025-04-23,Daft Punk,Get Lucky,Electronic,342,76,playlist
2025-04-23,Harry Styles,As It Was,Pop,249,1301,search
2025-04-23,SZA,Good Days,Hip-Hop,241,505,album
2025-04-23,Kendrick Lamar,DNA,Hip-Hop,209,262,search
2025-04-24,Kamasi Washington,Street Fighter Mas,Jazz,340,126,playlist
2025-04-24,Drake,One Dance,Hip-Hop,216,1338,search
2025-04-24,HER,Best Part,R&B,294,123,radio
2025-04-25,Radiohead,Karma Police,Rock,359,266,album
2025-04-26,Lang Lang,Ballade No 1,Classical,403,47,search
2025-04-26,Bonobo,Bambro Koyo Ganda,Electronic,368,126,search
2025-04-27,Alfa Mist,Run Outs,Jazz,557,63,radio
2025-04-28,J. Cole,No Role Modelz,Hip-Hop,170,963,search
2025-04-28,The Beatles,All You Need Is Love,Rock,237,22002,playlist
2025-04-29,Kendrick Lamar,HUMBLE,Hip-Hop,205,1005,album
2025-04-29,Jorja Smith,Be Honest,R&B,267,443,radio
2025-04-30,boy pablo,Dance Baby,Indie,319,151,playlist
2025-04-30,Dua Lipa,New Rules,Pop,168,205,liked
2025-04-30,Daft Punk,Instant Crush,Electronic,291,4310,album
2025-05-01,Drake,Hotline Bling,Hip-Hop,180,1335,search
2025-05-01,Daft Punk,Get Lucky,Electronic,264,145,playlist
2025-05-01,Bonobo,Kerala,Electronic,389,145,playlist
2025-05-02,Kendrick Lamar,HUMBLE,Hip-Hop,267,693,search
2025-05-02,Max Richter,Dream 3,Classical,544,67,playlist
2025-05-02,Frank Ocean,Pink + White,R&B,299,667,album
2025-05-02,Harry Styles,As It Was,Pop,164,1275,search
2025-05-02,Arctic Monkeys,505,Rock,274,144,playlist
2025-05-03,Taylor Swift,Shake It Off,Pop,192,785,playlist
2025-05-03,Taylor Swift,Anti-Hero,Pop,238,205,search
2025-05-03,Dua Lipa,Dont Start Now,Pop,199,1620,search
2025-05-03,Kendrick Lamar,HUMBLE,Hip-Hop,178,1173,search
2025-05-04,Tame Impala,The Less I Know the Better,Indie,316,298,radio
2025-05-04,The Weeknd,Starboy,Pop,210,563,search
2025-05-05,Arctic Monkeys,505,Rock,383,387,liked
2025-05-05,Drake,Hotline Bling,Hip-Hop,278,827,playlist
2025-05-05,Hilary Hahn,Violin Concerto in D,Classical,853,24,radio
2025-05-05,GoGo Penguin,Kora,Jazz,254,137,search
2025-05-05,The Rolling Stones,Sympathy for the Devil,Rock,356,481,search
2025-05-06,Foo Fighters,Everlong,Rock,194,312,playlist
2025-05-06,Harry Styles,Adore You,Pop,156,893,playlist
2025-05-07,Kendrick Lamar,Money Trees,Hip-Hop,260,929,radio
2025-05-07,Lang Lang,Hungarian Rhapsody No 2,Classical,615,70,playlist
2025-05-08,The Weeknd,Starboy,Pop,185,487,search
2025-05-08,Taylor Swift,Cruel Summer,Pop,210,1986,playlist
2025-05-09,Dua Lipa,Dont Start Now,Pop,247,444,radio
2025-05-10,J. Cole,No Role Modelz,Hip-Hop,215,888,liked
2025-05-10,Arctic Monkeys,R U Mine,Rock,224,1290,album
2025-05-11,Foo Fighters,Learn to Fly,Rock,417,159,playlist
2025-05-11,Olivia Rodrigo,good 4 u,Pop,186,5416,search
2025-05-12,boy pablo,Feeling Lonely,Indie,324,276,search
2025-05-12,Radiohead,Creep,Rock,240,106,search
2025-05-13,Led Zeppelin,Whole Lotta Love,Rock,260,439,search
2025-05-14,Disclosure,Magnets,Electronic,365,206,playlist
2025-05-14,The Beatles,Hey Jude,Rock,431,17657,radio
2025-05-15,SZA,Kill Bill,Hip-Hop,207,1456,album
2025-05-16,Taylor Swift,Cruel Summer,Pop,242,725,playlist
2025-05-16,Bonobo,Kerala,Electronic,386,109,search
2025-05-16,The Beatles,Here Comes the Sun,Rock,185,43880,radio
2025-05-17,Foo Fighters,Learn to Fly,Rock,276,91,search
2025-05-18,Olivia Rodrigo,drivers license,Pop,185,329,search
2025-05-18,Jamie xx,Gosh,Electronic,273,64,radio
2025-05-20,Kendrick Lamar,DNA,Hip-Hop,263,838,radio
2025-05-20,SZA,Good Days,Hip-Hop,270,314,radio
2025-05-20,HER,Focus,R&B,266,402,album
2025-05-20,Drake,Gods Plan,Hip-Hop,195,1313,playlist
2025-05-20,Radiohead,Karma Police,Rock,383,298,playlist
2025-05-21,Arctic Monkeys,R U Mine,Rock,411,122,radio
2025-05-21,Dua Lipa,Levitating,Pop,181,1457,radio
2025-05-21,Olivia Rodrigo,vampire,Pop,165,1012,radio
2025-05-21,Dua Lipa,Levitating,Pop,247,469,liked
2025-05-22,Dua Lipa,Dont Start Now,Pop,183,1027,playlist
2025-05-22,The Rolling Stones,Paint It Black,Rock,413,430,search
2025-05-22,Arctic Monkeys,R U Mine,Rock,314,311,album
2025-05-24,Foo Fighters,Learn to Fly,Rock,239,263,liked
2025-05-24,The Beatles,Come Together,Rock,259,33631,radio
2025-05-25,Bonobo,Kerala,Electronic,369,384,search
2025-05-25,Lang Lang,Hungarian Rhapsody No 2,Classical,609,39,playlist
2025-05-25,Harry Styles,Adore You,Pop,230,1424,radio
2025-05-25,The Weeknd,Save Your Tears,Pop,196,935,search
2025-05-25,The Beatles,Yesterday,Rock,125,27250,search
2025-05-26,Led Zeppelin,Kashmir,Rock,217,310,album
2025-05-26,The Weeknd,Starboy,Pop,263,1786,playlist
2025-05-26,Harry Styles,Watermelon Sugar,Pop,177,1990,radio
2025-05-27,The Rolling Stones,Sympathy for the Devil,Rock,298,384,search
2025-05-27,SZA,Good Days,Hip-Hop,292,1405,album
2025-05-27,Dua Lipa,New Rules,Pop,251,1618,playlist
2025-05-27,Bonobo,No Reason,Electronic,301,367,playlist
2025-05-28,Yo-Yo Ma,Cello Suite No 1,Classical,451,31,search
2025-05-29,Lang Lang,Ballade No 1,Classical,673,58,playlist
2025-05-29,Disclosure,Magnets,Electronic,285,392,search
2025-05-29,Max Richter,November,Classical,752,28,playlist
2025-05-30,Arctic Monkeys,505,Rock,296,224,playlist
2025-05-30,J. Cole,Middle Child,Hip-Hop,222,1138,search
2025-05-30,GoGo Penguin,Kora,Jazz,383,82,album
2025-05-30,Jamie xx,Sleep Sound,Electronic,353,262,radio
2025-05-31,The Weeknd,Save Your Tears,Pop,255,1172,radio
2025-05-31,Radiohead,Creep,Rock,390,80,liked
2025-06-01,Tyler the Creator,See You Again,Hip-Hop,204,926,radio
2025-06-01,Foo Fighters,The Pretender,Rock,355,84,radio
2025-06-01,Kendrick Lamar,HUMBLE,Hip-Hop,247,440,search
2025-06-02,Jorja Smith,Be Honest,R&B,221,303,search
2025-06-02,Harry Styles,Watermelon Sugar,Pop,240,1643,search
2025-06-02,Drake,Gods Plan,Hip-Hop,218,1239,playlist
2025-06-02,Dua Lipa,Dont Start Now,Pop,253,1493,radio
2025-06-03,ODESZA,Line of Sight,Electronic,317,188,playlist
2025-06-03,The Weeknd,Save Your Tears,Pop,230,1705,radio
2025-06-03,Daniel Caesar,Get You,R&B,286,159,search
2025-06-03,The Rolling Stones,Paint It Black,Rock,353,255,album
2025-06-03,Foo Fighters,Learn to Fly,Rock,365,191,playlist
2025-06-03,Olivia Rodrigo,drivers license,Pop,220,1753,playlist
2025-06-03,Steve Lacy,Dark Red,R&B,285,165,playlist
2025-06-04,Kendrick Lamar,DNA,Hip-Hop,242,737,search
2025-06-04,J. Cole,Middle Child,Hip-Hop,266,1255,search
2025-06-05,Robert Glasper,So Beautiful,Jazz,492,114,liked
2025-06-05,Radiohead,Creep,Rock,316,256,playlist
2025-06-06,Kendrick Lamar,HUMBLE,Hip-Hop,231,1472,album
2025-06-06,Harry Styles,As It Was,Pop,186,1191,radio
2025-06-07,Radiohead,Creep,Rock,195,294,liked
